出演イベントID	イベント名＠会場名	曲名	演奏順	形態
88	第61回J-POP祭@ライブハウス「窓枠」	ボーイフレンド	1	個別
88	第61回J-POP祭@ライブハウス「窓枠」	どろぼう	2	個別
88	第61回J-POP祭@ライブハウス「窓枠」	ひまわりになったら	3	個別
88	第61回J-POP祭@ライブハウス「窓枠」	相思相愛	4	個別
88	第61回J-POP祭@ライブハウス「窓枠」	あたしの向こう	5	個別
88	第61回J-POP祭@ライブハウス「窓枠」	ストロー	6	個別
87	第16回やらまいかミュージックフェスティバル@キタラステージ	相思相愛	1	個別
87	第16回やらまいかミュージックフェスティバル@キタラステージ	蝶々結び	2	個別
87	第16回やらまいかミュージックフェスティバル@キタラステージ	あたしの向こう	3	個別
87	第16回やらまいかミュージックフェスティバル@キタラステージ	ボーイフレンド	4	個別
86	ウタウコイヌ #6 @巣鴨獅子王	相思相愛	1	個別
86	ウタウコイヌ #6 @巣鴨獅子王	恋愛ジャンキー	2	個別
86	ウタウコイヌ #6 @巣鴨獅子王	蝶々結び	3	個別
86	ウタウコイヌ #6 @巣鴨獅子王	すべての夜	4	個別
86	ウタウコイヌ #6 @巣鴨獅子王	ひまわりになったら	5	個別
86	ウタウコイヌ #6 @巣鴨獅子王	どろぼう	6	個別
86	ウタウコイヌ #6 @巣鴨獅子王	あたしの向こう	7	個別
85	Love Like aiko vol.26 Dat1@京橋Arc	青空	1	個別
85	Love Like aiko vol.26 Dat1@京橋Arc	すべての夜	2	個別
85	Love Like aiko vol.26 Dat1@京橋Arc	ひまわりになったら	3	個別
85	Love Like aiko vol.26 Dat1@京橋Arc	ストロー	4	個別
85	Love Like aiko vol.26 Dat1@京橋Arc	恋愛ジャンキー	5	個別
84	第15回やらまいかミュージックフェスティバル@キタラステージ	花火	1	個別
84	第15回やらまいかミュージックフェスティバル@キタラステージ	青空	2	個別
84	第15回やらまいかミュージックフェスティバル@キタラステージ	ストロー	3	個別
84	第15回やらまいかミュージックフェスティバル@キタラステージ	ボーイフレンド	4	個別
83	豊岡元気村虫の音音楽祭2023@豊岡中央交流センター特設ステージ	ストロー	1	個別
83	豊岡元気村虫の音音楽祭2023@豊岡中央交流センター特設ステージ	すべての夜	2	個別
83	豊岡元気村虫の音音楽祭2023@豊岡中央交流センター特設ステージ	青空	3	個別
83	豊岡元気村虫の音音楽祭2023@豊岡中央交流センター特設ステージ	花火	4	個別
83	豊岡元気村虫の音音楽祭2023@豊岡中央交流センター特設ステージ	ボーイフレンド	5	個別
82	さやかちゃん結婚式@ザ・ヴィラ浜名湖	カブトムシ	1	個別
82	さやかちゃん結婚式@ザ・ヴィラ浜名湖	花火	2	個別
81	aikoバンド祭りvol.12@オンラインライブ	雲は白リンゴは赤	1	個別
81	aikoバンド祭りvol.12@オンラインライブ	向かいあわせ	2	個別
81	aikoバンド祭りvol.12@オンラインライブ	17の月	3	個別
81	aikoバンド祭りvol.12@オンラインライブ	キラキラ	4	個別
81	aikoバンド祭りvol.12@オンラインライブ	ストロー	5	個別
80	あみちゃん結婚式@アーセンティア迎賓館	向かいあわせ	1	個別
80	あみちゃん結婚式@アーセンティア迎賓館	ボーイフレンド	2	個別
79	Love Like aiko Vol.22@京橋Arc	雲は白リンゴは赤	1	個別
79	Love Like aiko Vol.22@京橋Arc	ロージー	2	個別
79	Love Like aiko Vol.22@京橋Arc	カブトムシ	3	個別
79	Love Like aiko Vol.22@京橋Arc	Power of Love	4	個別
79	Love Like aiko Vol.22@京橋Arc	ボーイフレンド	5	個別
78	第13回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	カブトムシ	1	個別
78	第13回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	ロージー	2	個別
78	第13回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	キラキラ	3	個別
78	第13回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	ボーイフレンド	4	個別
77	豊岡元気村虫の音音楽祭2019@豊岡中央交流センター	キラキラ	1	個別
77	豊岡元気村虫の音音楽祭2019@豊岡中央交流センター	カブトムシ	2	個別
77	豊岡元気村虫の音音楽祭2019@豊岡中央交流センター	ロージー	3	個別
77	豊岡元気村虫の音音楽祭2019@豊岡中央交流センター	ボーイフレンド	4	個別
76	6月の虹@静岡ROXY	愛の病	1	個別
76	6月の虹@静岡ROXY	ロージー	2	個別
76	6月の虹@静岡ROXY	運命	3	個別
76	6月の虹@静岡ROXY	ボーイフレンド	4	個別
75	aikoバンド祭り@渋谷STAR LOUNGE	キスする前に	1	個別
75	aikoバンド祭り@渋谷STAR LOUNGE	ロージー	2	個別
75	aikoバンド祭り@渋谷STAR LOUNGE	おやすみなさい	3	個別
75	aikoバンド祭り@渋谷STAR LOUNGE	愛の病	4	個別
75	aikoバンド祭り@渋谷STAR LOUNGE	運命	5	個別
75	aikoバンド祭り@渋谷STAR LOUNGE	ボーイフレンド	6	個別
74	 J-POP祭新年会2019	キスする前に	1	個別
74	 J-POP祭新年会2019	運命	2	個別
73	豊岡元気村虫の音音楽祭2018@豊岡中央交流センター	愛の病	1	個別
73	豊岡元気村虫の音音楽祭2018@豊岡中央交流センター	カブトムシ	2	個別
73	豊岡元気村虫の音音楽祭2018@豊岡中央交流センター	キスする前に	3	個別
73	豊岡元気村虫の音音楽祭2018@豊岡中央交流センター	花火	4	個別
72	aikoバンド祭り@渋谷STAR LOUNGE	星電話	1	個別
72	aikoバンド祭り@渋谷STAR LOUNGE	赤いランプ	2	個別
72	aikoバンド祭り@渋谷STAR LOUNGE	カブトムシ	3	個別
72	aikoバンド祭り@渋谷STAR LOUNGE	more&more	4	個別
72	aikoバンド祭り@渋谷STAR LOUNGE	アスパラ	5	個別
72	aikoバンド祭り@渋谷STAR LOUNGE	愛の病	6	個別
72	aikoバンド祭り@渋谷STAR LOUNGE	キスする前に	7	個別
72	aikoバンド祭り@渋谷STAR LOUNGE	Loveletter	8	個別
71	Jポップ歌謡祭@ライブハウスAVANTI	ビードロの夜	1	個別
71	Jポップ歌謡祭@ライブハウスAVANTI	初恋	2	個別
71	Jポップ歌謡祭@ライブハウスAVANTI	海の終わり	3	個別
71	Jポップ歌謡祭@ライブハウスAVANTI	星電話	4	個別
71	Jポップ歌謡祭@ライブハウスAVANTI	アスパラ	5	個別
71	Jポップ歌謡祭@ライブハウスAVANTI	赤いランプ	6	個別
70	Love Like aiko vol.18@吉祥寺 Planet K	ビードロの夜	1	個別
70	Love Like aiko vol.18@吉祥寺 Planet K	初恋	2	個別
70	Love Like aiko vol.18@吉祥寺 Planet K	海の終わり	3	個別
70	Love Like aiko vol.18@吉祥寺 Planet K	星電話	4	個別
70	Love Like aiko vol.18@吉祥寺 Planet K	アスパラ	5	個別
70	Love Like aiko vol.18@吉祥寺 Planet K	赤いランプ	6	個別
69	第11回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	初恋	1	個別
69	第11回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	愛の病	2	個別
69	第11回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	Loveletter	3	個別
69	第11回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	赤いランプ	4	個別
69	第11回やらまいかミュージックフェスティバルinはままつ@遠鉄百貨店屋上ステージ	花火	5	個別
68	豊岡元気村虫の音音楽祭2017@豊岡中央交流センター	愛の病	1	個別
68	豊岡元気村虫の音音楽祭2017@豊岡中央交流センター	初恋	2	個別
68	豊岡元気村虫の音音楽祭2017@豊岡中央交流センター	Loveletter	3	個別
68	豊岡元気村虫の音音楽祭2017@豊岡中央交流センター	赤いランプ	4	個別
68	豊岡元気村虫の音音楽祭2017@豊岡中央交流センター	花火	5	個別
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	明日の歌	1	個別
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	あした	2	個別
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	もっと	3	個別
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	ウミウサギ	4	個別
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	リズム	5	個別
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	二人	6	個別
67	LOVE LIKE aiko ～ちょっと嬉しいaiko対バン～@スタジオ246 名古屋	beat	7	個別
66	第10回やらまいかミュージックフェスティバルinはままつ@キタラステージ	キラキラ	1	個別
66	第10回やらまいかミュージックフェスティバルinはままつ@キタラステージ	カブトムシ	2	個別
66	第10回やらまいかミュージックフェスティバルinはままつ@キタラステージ	もっと	3	個別
66	第10回やらまいかミュージックフェスティバルinはままつ@キタラステージ	二人	4	個別
66	第10回やらまいかミュージックフェスティバルinはままつ@キタラステージ	花火	5	個別
65	Sunday Night Shuffle@ライブハウスUHU	キラキラ	1	個別
65	Sunday Night Shuffle@ライブハウスUHU	リズム	2	個別
65	Sunday Night Shuffle@ライブハウスUHU	カブトムシ	3	個別
65	Sunday Night Shuffle@ライブハウスUHU	あした	4	個別
65	Sunday Night Shuffle@ライブハウスUHU	二人	5	個別
64	空港音楽祭2016@中部国際空港セントレア	ボーイフレンド	1	個別
64	空港音楽祭2016@中部国際空港セントレア	カブトムシ	2	個別
64	空港音楽祭2016@中部国際空港セントレア	花火	3	個別
63	第33回J-POP祭@ライブハウス「窓枠」	あした	1	個別
63	第33回J-POP祭@ライブハウス「窓枠」	シャッター	2	個別
63	第33回J-POP祭@ライブハウス「窓枠」	ウミウサギ	3	個別
63	第33回J-POP祭@ライブハウス「窓枠」	アスパラ	4	個別
63	第33回J-POP祭@ライブハウス「窓枠」	キスする前に	5	個別
63	第33回J-POP祭@ライブハウス「窓枠」	花火	6	個別
62	第9回やらまいかミュージックフェスティバルinはままつ@鍛冶町交差点	キスする前に	1	個別
62	第9回やらまいかミュージックフェスティバルinはままつ@鍛冶町交差点	アスパラ	2	個別
62	第9回やらまいかミュージックフェスティバルinはままつ@鍛冶町交差点	あなたと握手	3	個別
62	第9回やらまいかミュージックフェスティバルinはままつ@鍛冶町交差点	花火	4	個別
61	空港音楽祭オーディション2015@中部国際空港セントレアホール	カブトムシ	1	メドレー
